Timestep,Environment,Total_Capacity,Cognitive_Entropy,Spectral_Resilience_Psi,ESI_Delta,Mean_Interference,Active_Channels
0,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
1,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
2,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
3,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
4,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
5,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
6,CWF,229.23666560867503,5.999999999999908,112.50572694738568,0.0,0.35066022591222484,56
7,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
8,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
9,CWF,229.23666560867503,5.999999999999908,112.50181319723858,0.0,1.1078231071677997,56
10,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
11,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
12,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
13,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
14,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
15,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
16,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
17,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
18,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
19,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
20,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
21,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
22,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
23,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
24,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
25,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
26,CWF,229.23666560867503,5.999999999999908,112.5031061149469,0.0,0.6466406651297143,56
27,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
28,CWF,229.23666560867503,5.999999999999908,112.50048432791449,0.0,4.147742696052721,56
29,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
30,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
31,CWF,229.23666560867503,5.999999999999908,112.50638324169549,0.0,0.3145941712792958,56
32,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
33,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
34,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
35,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
36,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
37,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
38,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
39,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
40,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
41,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
42,CWF,229.23666560867503,5.999999999999908,112.50231686240588,0.0,0.8669651086022452,56
43,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
44,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
45,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
46,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
47,CWF,229.23666560867503,5.999999999999908,112.50435156024862,0.0,0.461532062153541,56
48,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
49,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
50,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
51,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
52,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
53,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
54,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
55,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
56,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
57,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
58,CWF,229.23666560867503,5.999999999999908,112.50234162933889,0.0,0.8577940748933967,56
59,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
60,CWF,229.23666560867503,5.999999999999908,112.50667742412371,0.0,0.3007288174003247,56
61,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
62,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
63,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
64,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
65,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
66,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
67,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
68,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
69,CWF,229.23666560867503,5.999999999999908,112.50588921320592,0.0,0.34099502118196967,56
70,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
71,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
72,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
73,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
74,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
75,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
76,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
77,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
78,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
79,CWF,250.42491752699814,5.999999999999908,128.57142857130165,0.0,0.0,64
